"Test Case ID","Screen Name","Test Scenario","Category","Preconditions","Automation Steps","Browser Logs","Status","Duration (ms)"
"SEL_SCR01_TC001","SplashScreen","Selenium E2E: Verify header and visual elements display correctly on SplashScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","365"
"SEL_SCR01_TC002","SplashScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on SplashScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","278"
"SEL_SCR01_TC003","SplashScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on SplashScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","335"
"SEL_SCR01_TC004","SplashScreen","Selenium E2E: Verify primary button and actions execute successfully on SplashScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","183"
"SEL_SCR01_TC005","SplashScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on SplashScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","317"
"SEL_SCR01_TC006","SplashScreen","Selenium E2E: Verify system rejects incorrect input formats on SplashScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","376"
"SEL_SCR01_TC007","SplashScreen","Selenium E2E: Verify input field limits and overflow boundaries on SplashScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","200"
"SEL_SCR01_TC008","SplashScreen","Selenium E2E: Verify screen offline indicator state during outages on SplashScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","292"
"SEL_SCR01_TC009","SplashScreen","Selenium E2E: Verify screen reader content description labels on SplashScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","305"
"SEL_SCR01_TC010","SplashScreen","Selenium E2E: Verify page back-button cache retention on SplashScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /splashscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /splashscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","201"
"SEL_SCR02_TC011","OnboardingScreen","Selenium E2E: Verify header and visual elements display correctly on OnboardingScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","444"
"SEL_SCR02_TC012","OnboardingScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on OnboardingScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","134"
"SEL_SCR02_TC013","OnboardingScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on OnboardingScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","377"
"SEL_SCR02_TC014","OnboardingScreen","Selenium E2E: Verify primary button and actions execute successfully on OnboardingScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","263"
"SEL_SCR02_TC015","OnboardingScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on OnboardingScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","146"
"SEL_SCR02_TC016","OnboardingScreen","Selenium E2E: Verify system rejects incorrect input formats on OnboardingScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","190"
"SEL_SCR02_TC017","OnboardingScreen","Selenium E2E: Verify input field limits and overflow boundaries on OnboardingScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","363"
"SEL_SCR02_TC018","OnboardingScreen","Selenium E2E: Verify screen offline indicator state during outages on OnboardingScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","301"
"SEL_SCR02_TC019","OnboardingScreen","Selenium E2E: Verify screen reader content description labels on OnboardingScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","310"
